Historical Gross Domestic Product Per Capita for Baseline Countries/Regions (in 2010 dollars) 1980-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated: 12/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Information important for using this table: Because of the use of fixed exchange rates, the base year can make a significant difference in the relative ranking of countries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Calculated from real GDP and population in the ERS International Macroeconomic Data Sets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Contact: Lorraine Mitchell (202-694-5234, lmitchel@ers.usda.gov).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Per Capita GDP in 2010 U.S. dollars and Annual Growth Rates (right side of table),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecentlyAccededCountries,6888.28,6746.89,6767.62,7009.94,7289.71,7420.57,7618.20,7784.35,7994.84,8002.57,7749.10,6979.54,6661.34,6684.15,6923.94,7294.03,7619.95,7867.91,8097.86,8283.69,8634.03,8907.29,9229.75,9653.48,10205.38,10723.09,11435.77,12171.56,12633.44,12202.72,12429.59,12841.92,12936.69,13117.49,13526.28,14069.49,14533.54,15233.91,,-2.05,0.31,3.58,3.99,1.80,2.66,2.18,2.70,0.10,-3.17,-9.93,-4.56,0.34,3.59,5.35,4.47,3.25,2.92,2.29,4.23,3.16,3.62,4.59,5.72,5.07,6.65,6.43,3.79,-3.41,1.86,3.32,0.74,1.40,3.12,4.02,3.30,4.82,4.20,,,,,,,,,,,,,,,,,,
Bulgaria,3230.37,3378.77,3448.84,3559.86,3673.35,3765.47,3917.25,4148.32,4597.18,4441.97,4080.56,3787.76,3558.48,3595.78,3695.61,3837.63,3902.32,3899.24,4076.20,3864.45,4086.06,4273.44,4563.68,4837.20,5186.85,5596.14,6022.53,6506.96,6939.60,6724.43,6847.45,7017.10,7059.50,7160.19,7295.26,7602.59,7948.94,8282.06,,4.59,2.07,3.22,3.19,2.51,4.03,5.90,10.82,-3.38,-8.14,-7.18,-6.05,1.05,2.78,3.84,1.69,-0.08,4.54,-5.19,5.73,4.59,6.79,5.99,7.23,7.89,7.62,8.04,6.65,-3.10,1.83,2.48,0.60,1.43,1.89,4.21,4.56,4.19,4.00,,,,,,,,,,,,,,,,,,
Croatia,8366.78,8552.18,8618.37,8890.39,9324.02,9747.16,9783.09,10040.58,9834.20,10028.33,13387.71,10487.78,9363.74,8638.32,8643.83,8830.82,9424.13,10097.94,10344.18,10275.00,10655.04,10950.44,11463.32,12104.34,12596.93,13119.89,13751.93,14470.71,14778.14,13703.42,13543.82,13541.97,13279.98,13237.93,13281.09,13660.25,14163.03,14629.81,,2.22,0.77,3.16,4.88,4.54,0.37,2.63,-2.06,1.97,33.50,-21.66,-10.72,-7.75,0.06,2.16,6.72,7.15,2.44,-0.67,3.70,2.77,4.68,5.59,4.07,4.15,4.82,5.23,2.12,-7.27,-1.16,-0.01,-1.93,-0.32,0.33,2.85,3.68,3.30,3.00,,,,,,,,,,,,,,,,,,
Cyprus,10631.35,10766.08,11285.68,11712.88,12519.86,12913.58,13174.63,13880.42,14839.35,15713.73,16465.11,16128.47,17146.79,16812.93,17387.28,18456.00,18335.17,18473.13,19138.37,19771.76,20612.53,21058.15,21447.79,21572.39,22043.27,22331.53,22879.43,23573.66,24073.46,23255.89,23179.23,22884.03,21841.45,20237.19,19662.86,19769.75,20163.59,20671.98,,1.27,4.83,3.79,6.89,3.14,2.02,5.36,6.91,5.89,4.78,-2.04,6.31,-1.95,3.42,6.15,-0.65,0.75,3.60,3.31,4.25,2.16,1.85,0.58,2.18,1.31,2.45,3.03,2.12,-3.40,-0.33,-1.27,-4.56,-7.35,-2.84,0.54,1.99,2.52,1.90,,,,,,,,,,,,,,,,,,
CzechRepublic,10837.23,11162.45,11501.20,11853.24,12217.07,12593.77,12984.94,13382.96,13793.94,14219.77,14021.01,12397.71,12322.31,12317.12,12670.89,13467.45,14052.51,13984.01,13951.26,14165.63,14786.64,15244.31,15517.99,16073.16,16847.56,17913.66,19079.48,20022.04,20381.77,19287.00,19664.50,19971.82,19777.50,19648.35,20148.24,21183.29,21699.84,22601.32,,3.00,3.03,3.06,3.07,3.08,3.11,3.07,3.07,3.09,-1.40,-11.58,-0.61,-0.04,2.87,6.29,4.34,-0.49,-0.23,1.54,4.38,3.10,1.80,3.58,4.82,6.33,6.51,4.94,1.80,-5.37,1.96,1.56,-0.97,-0.65,2.54,5.14,2.44,4.15,2.98,,,,,,,,,,,,,,,,,,
Estonia,8718.98,8777.82,9212.00,9485.80,9678.21,9650.11,9681.93,9943.36,10182.24,10482.93,9752.51,9028.56,7260.88,7015.19,6987.39,7268.15,7755.25,8759.07,9200.29,9195.11,10241.17,10970.98,11724.43,12685.18,13575.51,14944.51,16588.69,17966.72,17053.28,14587.43,14969.55,16176.12,16982.42,17434.70,18041.27,18445.50,18928.92,19958.19,,0.67,4.95,2.97,2.03,-0.29,0.33,2.70,2.40,2.95,-6.97,-7.42,-19.58,-3.38,-0.40,4.02,6.70,12.94,5.04,-0.06,11.38,7.13,6.87,8.19,7.02,10.08,11.00,8.31,-5.08,-14.46,2.62,8.06,4.98,2.66,3.48,2.24,2.62,5.44,4.13,,,,,,,,,,,,,,,,,,
Hungary,7855.46,8080.85,8314.81,8388.10,8627.55,8622.03,8772.56,9139.21,9486.09,9599.32,9284.61,8831.34,8572.89,8567.25,8848.42,8993.97,9014.10,9342.28,9765.83,10105.58,10556.04,10980.38,11497.06,11964.14,12587.10,13159.03,13681.25,13757.22,13893.95,12994.22,13102.30,13341.78,13145.68,13446.87,14044.11,14548.66,14904.92,15537.10,,2.87,2.90,0.88,2.85,-0.06,1.75,4.18,3.80,1.19,-3.28,-4.88,-2.93,-0.07,3.28,1.64,0.22,3.64,4.53,3.48,4.46,4.02,4.71,4.06,5.21,4.54,3.97,0.56,0.99,-6.48,0.83,1.83,-1.47,2.29,4.44,3.59,2.45,4.24,4.52,,,,,,,,,,,,,,,,,,
Latvia,8138.92,8441.75,8588.52,8974.92,9424.68,9322.98,9686.53,9829.69,10272.09,10842.92,10723.17,9416.45,6486.07,5864.83,6097.86,5152.16,5333.33,5870.14,6312.23,6530.53,6934.42,7438.84,8035.79,8797.32,9634.31,10779.75,12171.57,13494.92,13152.42,11447.63,11234.67,12175.14,12823.16,13275.01,13667.84,14222.95,14692.56,15527.19,,3.72,1.74,4.50,5.01,-1.08,3.90,1.48,4.50,5.56,-1.10,-12.19,-31.12,-9.58,3.97,-15.51,3.52,10.07,7.53,3.46,6.18,7.27,8.02,9.48,9.51,11.89,12.91,10.87,-2.54,-12.96,-1.86,8.37,5.32,3.52,2.96,4.06,3.30,5.68,5.34,,,,,,,,,,,,,,,,,,
Lithuania,7372.16,7540.79,7708.03,7875.60,8046.83,8221.75,8399.78,8579.58,8795.31,9049.35,9231.83,8752.27,6982.00,5952.92,5420.95,5504.92,5803.59,6294.19,6768.53,6691.64,6955.54,7439.23,7991.59,8909.03,9605.50,10527.67,11499.65,12934.57,13418.11,11565.06,12021.04,13059.36,13750.00,14375.12,15031.25,15496.75,16027.93,16820.64,,2.29,2.22,2.17,2.17,2.17,2.17,2.14,2.51,2.89,2.02,-5.19,-20.23,-14.74,-8.94,1.55,5.43,8.45,7.54,-1.14,3.94,6.95,7.43,11.48,7.82,9.60,9.23,12.48,3.74,-13.81,3.94,8.64,5.29,4.55,4.56,3.10,3.43,4.95,4.53,,,,,,,,,,,,,,,,,,
Malta,7979.82,8252.00,8520.88,8574.61,8763.65,9102.64,9467.59,9788.36,10524.42,11277.17,11860.36,12481.72,12948.74,13378.62,13998.54,14756.57,15190.28,15863.95,16562.25,17245.99,18312.15,18333.00,18801.06,19198.18,19202.02,19844.40,20122.47,20837.90,21447.08,20834.68,21487.61,21688.57,22195.25,23137.34,24931.23,27243.54,28583.54,30335.87,,3.41,3.26,0.63,2.20,3.87,4.01,3.39,7.52,7.15,5.17,5.24,3.74,3.32,4.63,5.42,2.94,4.43,4.40,4.13,6.18,0.11,2.55,2.11,0.02,3.35,1.40,3.56,2.92,-2.86,3.13,0.94,2.34,4.24,7.75,9.27,4.92,6.13,5.14,,,,,,,,,,,,,,,,,,
Poland,6559.60,5852.24,5523.20,5775.66,6046.44,6212.23,6426.65,6511.42,6757.94,6751.49,5946.11,5509.62,5630.89,5826.65,6122.23,6538.96,6929.75,7372.59,7710.06,8068.65,8439.02,8546.67,8725.15,9042.22,9512.79,9849.62,10462.13,11199.43,11669.89,11989.22,12412.38,13029.94,13239.27,13428.07,13878.07,14423.47,14851.60,15546.37,,-10.78,-5.62,4.57,4.69,2.74,3.45,1.32,3.79,-0.10,-11.93,-7.34,2.20,3.48,5.07,6.81,5.98,6.39,4.58,4.65,4.59,1.28,2.09,3.63,5.20,3.54,6.22,7.05,4.20,2.74,3.53,4.98,1.61,1.43,3.35,3.93,2.97,4.68,4.75,,,,,,,,,,,,,,,,,,
Romania,5264.77,5240.73,5423.02,5737.96,6067.98,6043.89,6163.64,6191.34,6138.24,5761.92,5435.06,4741.32,4331.05,4403.30,4583.03,4920.05,5125.11,4892.28,4800.03,4788.22,4909.22,5191.11,5472.37,5790.50,6290.59,6567.93,7111.97,7615.35,8261.32,7790.34,7589.43,7762.82,7879.10,8179.08,8454.21,8815.93,9269.43,9945.51,,-0.46,3.48,5.81,5.75,-0.40,1.98,0.45,-0.86,-6.13,-5.67,-12.76,-8.65,1.67,4.08,7.35,4.17,-4.54,-1.89,-0.25,2.53,5.74,5.42,5.81,8.64,4.41,8.28,7.08,8.48,-5.70,-2.58,2.28,1.50,3.81,3.36,4.28,5.14,7.29,4.15,,,,,,,,,,,,,,,,,,
Slovakia,8206.95,8380.22,8580.62,8787.97,9008.08,9267.85,9602.77,9787.45,9931.82,10010.73,9710.11,8265.15,7678.67,7794.26,8244.34,8699.53,9267.32,9811.69,10191.63,10160.36,10274.60,10610.77,11089.22,11688.81,12299.81,13125.09,14231.20,15761.46,16636.54,15719.80,16494.71,16937.12,17199.84,17447.93,17921.08,18606.12,19221.98,19875.46,,2.11,2.39,2.42,2.50,2.88,3.61,1.92,1.48,0.79,-3.00,-14.88,-7.10,1.51,5.77,5.52,6.53,5.87,3.87,-0.31,1.12,3.27,4.51,5.41,5.23,6.71,8.43,10.75,5.55,-5.51,4.93,2.68,1.55,1.44,2.71,3.82,3.31,3.40,3.22,,,,,,,,,,,,,,,,,,
Slovenia,9977.71,10251.32,10443.47,10667.29,10893.66,11126.10,11363.89,11632.62,11895.17,12173.45,14501.54,13156.25,12447.50,12796.88,13470.96,14965.39,15456.10,16212.80,16752.19,17645.89,18370.89,18906.87,19629.09,20185.89,21065.71,21913.36,23161.11,24782.45,25619.87,23645.99,23969.22,24161.58,23557.50,23336.71,24085.12,24689.78,25536.40,26893.69,,2.74,1.87,2.14,2.12,2.13,2.14,2.36,2.26,2.34,19.12,-9.28,-5.39,2.81,5.27,11.09,3.28,4.90,3.33,5.33,4.11,2.92,3.82,2.84,4.36,4.02,5.69,7.00,3.38,-7.70,1.37,0.80,-2.50,-0.94,3.21,2.51,3.43,5.32,4.99,,,,,,,,,,,,,,,,,,
OtherEurope,22169.11,22385.44,22128.78,22404.38,23165.43,24003.02,24521.04,24800.49,25107.02,26294.69,26690.38,26518.39,26578.04,26685.76,27480.22,28042.71,28693.01,29693.75,30535.23,30873.02,31974.13,32551.62,32827.34,32993.04,34104.19,35121.88,36281.04,37590.90,38084.50,37163.61,37727.02,38100.52,38540.71,39005.40,39677.73,40177.09,40632.43,41127.08,,0.98,-1.15,1.25,3.40,3.62,2.16,1.14,1.24,4.73,1.50,-0.64,0.22,0.41,2.98,2.05,2.32,3.49,2.83,1.11,3.57,1.81,0.85,0.50,3.37,2.98,3.30,3.61,1.31,-2.42,1.52,0.99,1.16,1.21,1.72,1.26,1.13,1.22,1.96,,,,,,,,,,,,,,,,,,
OtherWesternEurope,51521.68,52080.85,51414.05,52106.10,54052.45,56167.27,57414.06,58045.27,58693.24,60041.89,61343.03,61130.41,61365.05,61513.35,62756.92,63615.79,64891.94,67006.22,68676.47,69604.23,71728.58,72557.17,72691.92,72630.18,74683.52,76466.57,78524.18,80734.78,80948.62,78393.08,79067.11,79282.76,79781.75,80178.66,81182.36,81713.29,82094.10,82608.22,,1.09,-1.28,1.35,3.74,3.91,2.22,1.10,1.12,2.30,2.17,-0.35,0.38,0.24,2.02,1.37,2.01,3.26,2.49,1.35,3.05,1.16,0.19,-0.08,2.83,2.39,2.69,2.82,0.26,-3.16,0.86,0.27,0.63,0.50,1.25,0.65,0.47,0.63,1.35,,,,,,,,,,,,,,,,,,
Iceland,26492.11,27305.80,27513.38,26575.80,27389.25,28067.88,29631.98,31943.86,31249.91,30976.02,31095.50,30770.86,29482.32,29611.41,30126.00,29997.42,31260.80,32590.89,34520.88,35441.03,36576.38,37510.15,37369.86,37977.33,40683.71,42609.48,43710.86,46640.73,46537.33,43361.03,41867.14,42564.76,42900.13,44304.22,44709.27,46068.33,48931.13,50135.79,,3.07,0.76,-3.41,3.06,2.48,5.57,7.80,-2.17,-0.88,0.39,-1.04,-4.19,0.44,1.74,-0.43,4.21,4.25,5.92,2.67,3.20,2.55,-0.37,1.63,7.13,4.73,2.58,6.70,-0.22,-6.83,-3.45,1.67,0.79,3.27,0.91,3.04,6.21,2.46,1.72,,,,,,,,,,,,,,,,,,
Norway,48538.25,49144.63,49079.69,50860.86,53787.23,56605.71,58693.50,59443.70,58973.77,59340.58,60261.09,61832.40,63674.64,65097.48,67999.34,70459.05,73627.16,77088.89,78629.30,79661.38,81683.60,82965.99,83706.33,83982.32,86791.94,88464.06,89854.46,91582.30,90881.63,88224.67,87733.52,87440.81,88644.75,88434.95,89091.83,89802.13,89791.41,90570.13,,1.25,-0.13,3.63,5.75,5.24,3.69,1.28,-0.79,0.62,1.55,2.61,2.98,2.23,4.46,3.62,4.50,4.70,2.00,1.31,2.54,1.57,0.89,0.33,3.35,1.93,1.57,1.92,-0.77,-2.92,-0.56,-0.33,1.38,-0.24,0.74,0.80,-0.01,0.87,0.93,,,,,,,,,,,,,,,,,,
Switzerland,54325.02,54843.93,53763.27,53827.23,55198.11,56922.96,57628.99,58125.28,59539.35,61564.86,63139.50,61824.34,61130.54,60505.47,60783.56,60707.36,60826.63,62134.37,63860.16,64714.18,66940.66,67494.91,67269.46,66969.05,68523.86,70365.59,72874.51,75358.34,76158.10,73669.83,75133.54,75624.38,75658.33,76380.05,77615.06,77983.48,78501.02,78804.90,,0.96,-1.97,0.12,2.55,3.12,1.24,0.86,2.43,3.40,2.56,-2.08,-1.12,-1.02,0.46,-0.13,0.20,2.15,2.78,1.34,3.44,0.83,-0.33,-0.45,2.32,2.69,3.57,3.41,1.06,-3.27,1.99,0.65,0.04,0.95,1.62,0.47,0.66,0.39,1.63,,,,,,,,,,,,,,,,,,
OtherCentralEurope,2715.30,2770.24,2819.80,2865.21,2903.04,2952.69,3019.25,3063.56,3107.52,4147.24,3853.48,3394.54,2673.88,2131.99,2234.55,2389.34,2627.33,2822.45,2982.02,2891.45,3084.49,3224.85,3409.39,3557.90,3819.97,4060.68,4278.23,4542.77,4789.96,4710.93,4786.78,4870.13,4851.46,4971.26,4981.01,5082.81,5242.23,5366.24,,2.02,1.79,1.61,1.32,1.71,2.25,1.47,1.43,33.46,-7.08,-11.91,-21.23,-20.27,4.81,6.93,9.96,7.43,5.65,-3.04,6.68,4.55,5.72,4.36,7.37,6.30,5.36,6.18,5.44,-1.65,1.61,1.74,-0.38,2.47,0.20,2.04,3.14,2.37,3.55,,,,,,,,,,,,,,,,,,
Albania,2111.02,2189.00,2208.29,2187.67,2116.51,2109.98,2185.50,2126.06,2054.76,2215.25,1972.80,1416.96,1361.61,1495.11,1595.85,1781.19,1915.72,1696.54,1856.66,2124.15,2286.55,2492.05,2622.63,2799.68,2982.88,3175.53,3368.88,3584.58,3728.69,3855.74,3992.88,4084.16,4130.85,4160.35,4221.83,4302.58,4433.17,4589.28,,3.69,0.88,-0.93,-3.25,-0.31,3.58,-2.72,-3.35,7.81,-10.94,-28.18,-3.91,9.80,6.74,11.61,7.55,-11.44,9.44,14.41,7.65,8.99,5.24,6.75,6.54,6.46,6.09,6.40,4.02,3.41,3.56,2.29,1.14,0.71,1.48,1.91,3.04,3.52,3.29,,,,,,,,,,,,,,,,,,
BosniaHerzegovina,360.21,367.67,376.69,386.19,395.99,406.09,416.62,427.56,438.84,450.70,463.23,476.07,514.48,573.83,758.88,939.55,1769.16,2356.63,2700.55,2884.16,2972.20,3089.30,3249.40,3365.22,3539.04,3832.97,4037.77,4271.89,4513.76,4381.08,4421.42,4466.60,4433.39,4541.73,4598.79,4745.91,4901.64,5057.73,,2.07,2.46,2.52,2.54,2.55,2.59,2.62,2.64,2.70,2.78,2.77,8.07,11.54,32.25,23.81,88.30,33.21,14.59,6.80,3.05,3.94,5.18,3.56,5.17,8.31,5.34,5.80,5.66,-2.94,0.92,1.02,-0.74,2.44,1.26,3.20,3.28,3.18,3.57,,,,,,,,,,,,,,,,,,
Macedonia,3481.98,3521.39,3562.35,3619.86,3681.97,3741.95,3806.07,3871.82,3945.43,4017.12,4133.16,3864.93,3569.81,3254.59,3168.50,3102.69,3112.30,3135.23,3223.92,3347.85,3483.60,3361.07,3400.31,3467.84,3621.15,3782.59,3966.64,4212.41,4431.26,4403.83,4539.95,4634.46,4602.15,4725.87,4886.76,5064.09,5202.18,5194.09,,1.13,1.16,1.61,1.72,1.63,1.71,1.73,1.90,1.82,2.89,-6.49,-7.64,-8.83,-2.65,-2.08,0.31,0.74,2.83,3.84,4.05,-3.52,1.17,1.99,4.42,4.46,4.87,6.20,5.20,-0.62,3.09,2.08,-0.70,2.69,3.40,3.63,2.73,-0.16,3.16,,,,,,,,,,,,,,,,,,
Serbia,4017.09,4103.09,4194.00,4287.15,4382.73,4481.20,4584.14,4691.95,4804.21,7016.09,6449.13,5722.34,4133.28,2877.75,2954.46,3126.34,3195.34,3431.15,3523.01,3094.34,3366.37,3560.64,3816.06,3989.36,4357.59,4611.50,4854.55,5160.45,5461.75,5316.33,5372.52,5473.36,5443.07,5608.95,5531.62,5599.14,5782.25,5917.48,,2.14,2.22,2.22,2.23,2.25,2.30,2.35,2.39,46.04,-8.08,-11.27,-27.77,-30.38,2.67,5.82,2.21,7.38,2.68,-12.17,8.79,5.77,7.17,4.54,9.23,5.83,5.27,6.30,5.84,-2.66,1.06,1.88,-0.55,3.05,-1.38,1.22,3.27,2.34,3.79,,,,,,,,,,,,,,,,,,
FormerSovietUnion,5246.58,5448.48,5754.58,5946.27,6116.19,6163.23,6302.18,6423.91,6695.94,6821.60,6570.87,6155.60,5274.52,4768.46,4111.11,3894.39,3757.68,3810.18,3660.12,3869.56,4239.71,4501.14,4744.61,5116.59,5528.52,5907.08,6426.04,6994.43,7352.95,6843.19,7161.37,7539.00,7793.94,7961.09,8029.92,7837.51,7845.85,7995.33,,3.85,5.62,3.33,2.86,0.77,2.25,1.93,4.23,1.88,-3.68,-6.32,-14.31,-9.59,-13.79,-5.27,-3.51,1.40,-3.94,5.72,9.57,6.17,5.41,7.84,8.05,6.85,8.79,8.85,5.13,-6.93,4.65,5.27,3.38,2.14,0.86,-2.40,0.11,1.91,2.01,,,,,,,,,,,,,,,,,,
Russia,7329.93,7670.96,8203.22,8522.34,8801.60,8862.04,9098.34,9226.25,9682.76,9892.09,9555.05,9052.86,7729.81,7057.63,6164.98,5904.12,5697.75,5786.21,5487.63,5856.86,6470.81,6833.75,7197.48,7764.88,8364.70,8940.29,9708.78,10559.22,11117.12,10242.74,10699.14,11264.68,11677.15,11887.06,11977.40,11642.45,11621.84,11809.60,,4.65,6.94,3.89,3.28,0.69,2.67,1.41,4.95,2.16,-3.41,-5.26,-14.61,-8.70,-12.65,-4.23,-3.50,1.55,-5.16,6.73,10.48,5.61,5.32,7.88,7.72,6.88,8.60,8.76,5.28,-7.87,4.46,5.29,3.66,1.80,0.76,-2.80,-0.18,1.62,1.80,,,,,,,,,,,,,,,,,,
Ukraine,3254.70,3342.73,3435.05,3529.00,3624.08,3723.33,3827.16,4026.46,4113.35,4266.15,3986.10,3643.22,3281.06,2813.31,2178.58,1927.35,1749.44,1711.85,1693.79,1705.77,1824.01,2012.07,2136.35,2355.87,2660.45,2752.04,2973.01,3227.13,3319.32,2840.67,2971.78,3145.53,3160.79,3167.12,2988.87,2727.99,2804.82,2886.43,,2.70,2.76,2.73,2.69,2.74,2.79,5.21,2.16,3.71,-6.56,-8.60,-9.94,-14.26,-22.56,-11.53,-9.23,-2.15,-1.06,0.71,6.93,10.31,6.18,10.28,12.93,3.44,8.03,8.55,2.86,-14.42,4.62,5.85,0.49,0.20,-5.63,-8.73,2.82,2.91,3.39,,,,,,,,,,,,,,,,,,
OtherFormerSovietUnion,2512.43,2545.36,2583.39,2619.91,2657.93,2674.44,2682.68,2772.41,2855.12,2840.52,2801.56,2539.07,2155.52,1934.41,1675.51,1552.55,1568.70,1617.43,1651.36,1710.81,1826.07,1978.30,2112.44,2273.39,2468.20,2716.07,3028.53,3341.82,3545.22,3601.57,3818.58,4031.54,4188.81,4393.03,4552.65,4602.80,4638.76,4782.63,,1.31,1.49,1.41,1.45,0.62,0.31,3.34,2.98,-0.51,-1.37,-9.37,-15.11,-10.26,-13.38,-7.34,1.04,3.11,2.10,3.60,6.74,8.34,6.78,7.62,8.57,10.04,11.50,10.34,6.09,1.59,6.03,5.58,3.90,4.88,3.63,1.10,0.78,3.10,2.91,,,,,,,,,,,,,,,,,,
Armenia,1589.63,1605.88,1621.81,1638.90,1656.19,1674.63,1694.99,1716.72,1739.11,1887.33,1801.42,1564.08,931.15,895.23,982.07,1072.58,1139.20,1179.83,1268.59,1311.36,1390.53,1523.69,1726.37,1973.49,2181.64,2486.24,2817.10,3207.02,3430.69,2947.35,3014.45,3158.61,3388.84,3503.99,3634.26,3755.77,3769.61,4060.39,,1.02,0.99,1.05,1.06,1.11,1.22,1.28,1.30,8.52,-4.55,-13.18,-40.47,-3.86,9.70,9.22,6.21,3.57,7.52,3.37,6.04,9.58,13.30,14.31,10.55,13.96,13.31,13.84,6.97,-14.09,2.28,4.78,7.29,3.40,3.72,3.34,0.37,7.71,2.79,,,,,,,,,,,,,,,,,,
Azerbaijan,3338.74,3375.05,3411.81,3448.44,3482.34,3520.62,3564.36,3607.92,3656.11,3419.77,2977.83,2916.58,2223.25,1683.27,1332.46,1160.85,1163.27,1217.99,1326.05,1410.64,1553.40,1693.33,1858.59,2051.19,2241.03,2804.54,3732.46,4617.77,5061.29,5480.04,5687.44,5633.29,5698.81,5968.45,6027.45,6034.83,5793.26,5747.46,,1.09,1.09,1.07,0.98,1.10,1.24,1.22,1.34,-6.46,-12.92,-2.06,-23.77,-24.29,-20.84,-12.88,0.21,4.70,8.87,6.38,10.12,9.01,9.76,10.36,9.26,25.14,33.09,23.72,9.60,8.27,3.78,-0.95,1.16,4.73,0.99,0.12,-4.00,-0.79,1.14,,,,,,,,,,,,,,,,,,
Belarus,2416.38,2473.40,2532.69,2593.41,2654.99,2718.59,2785.25,2856.25,2929.45,3009.83,3097.94,3059.36,2759.60,2544.25,2249.23,2021.85,2085.46,2332.87,2538.05,2631.67,2792.70,2934.58,3096.45,3331.26,3731.24,4102.46,4532.45,4937.61,5453.17,5472.93,5909.39,6248.97,6368.99,6446.03,6569.26,6329.79,6182.32,6345.73,,2.36,2.40,2.40,2.37,2.40,2.45,2.55,2.56,2.74,2.93,-1.25,-9.80,-7.80,-11.60,-10.11,3.15,11.86,8.80,3.69,6.12,5.08,5.52,7.58,12.01,9.95,10.48,8.94,10.44,0.36,7.97,5.75,1.92,1.21,1.91,-3.65,-2.33,2.64,2.29,,,,,,,,,,,,,,,,,,
Georgia,3487.36,3651.19,3703.79,3840.75,4025.02,4198.52,3836.06,3869.67,4023.02,3679.71,3116.46,2459.21,1369.97,987.43,905.84,948.65,1070.95,1195.44,1241.15,1284.79,1317.46,1388.13,1469.74,1640.59,1739.54,1887.77,2047.47,2303.24,2356.85,2255.81,2373.79,2526.97,2680.96,2776.32,2908.37,2994.97,3082.28,3237.09,,4.70,1.44,3.70,4.80,4.31,-8.63,0.88,3.96,-8.53,-15.31,-21.09,-44.29,-27.92,-8.26,4.73,12.89,11.62,3.82,3.52,2.54,5.36,5.88,11.62,6.03,8.52,8.46,12.49,2.33,-4.29,5.23,6.45,6.09,3.56,4.76,2.98,2.92,5.02,4.78,,,,,,,,,,,,,,,,,,
Kazakhstan,4809.96,4892.37,4977.69,5066.32,5157.05,5251.38,5348.88,5446.47,5568.94,5708.05,5740.14,5070.28,4783.89,4359.77,3865.16,3607.37,3659.63,3764.55,3742.35,3875.52,4261.35,4821.36,5272.02,5733.15,6241.83,6790.36,7442.58,8018.26,8188.43,8181.71,8665.14,9188.21,9509.72,9958.17,10253.90,10257.90,10255.95,10553.33,,1.71,1.74,1.78,1.79,1.83,1.86,1.82,2.25,2.50,0.56,-11.67,-5.65,-8.87,-11.34,-6.67,1.45,2.87,-0.59,3.56,9.96,13.14,9.35,8.75,8.87,8.79,9.61,7.73,2.12,-0.08,5.91,6.04,3.50,4.72,2.97,0.04,-0.02,2.90,2.74,,,,,,,,,,,,,,,,,,
Kyrgyzstan,846.09,854.33,861.80,868.14,874.26,880.86,911.34,919.86,1022.21,1034.16,1073.43,975.09,831.59,704.47,563.89,528.14,557.66,604.56,608.90,622.58,649.18,678.27,673.13,713.99,756.07,747.33,763.34,821.81,883.60,899.01,886.13,931.96,923.36,1014.67,1044.93,1073.79,1108.10,1146.57,,0.97,0.87,0.74,0.71,0.75,3.46,0.94,11.13,1.17,3.80,-9.16,-14.72,-15.29,-19.96,-6.34,5.59,8.41,0.72,2.25,4.27,4.48,-0.76,6.07,5.89,-1.16,2.14,7.66,7.52,1.74,-1.43,5.17,-0.92,9.89,2.98,2.76,3.20,3.47,2.45,,,,,,,,,,,,,,,,,,
